Year,Quarter,Month number,Region,Offence category,Offence type,Alcohol involvement,DV involvement,Total_population,Aboriginal,Non-Aboriginal,Male,Female,Pop_age_0,Pop_age_10,Pop_age_15,Pop_age_20,Pop_age_25,Pop_age_30,Pop_age_35,Pop_age_40,Pop_age_45,Pop_age_5,Pop_age_50,Pop_age_55,Pop_age_60,Pop_age_65,Pop_age_70,Pop_age_75,Pop_age_80,Pop_age_85plus,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC,Number of offences,Region_Barkly,Region_Big Rivers,Region_Central Australia,Region_East Arnhem,Region_Top End
2024,1,1,Barkly,02 Assault,021 Serious Assault,0,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,2,True,False,False,False,False
2024,1,1,Barkly,02 Assault,021 Serious Assault,0,1,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,12,True,False,False,False,False
2024,1,1,Barkly,02 Assault,021 Serious Assault,1,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,5,True,False,False,False,False
2024,1,1,Barkly,02 Assault,021 Serious Assault,1,1,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,22,True,False,False,False,False
2024,1,1,Barkly,02 Assault,023 Common Assault,0,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,1,True,False,False,False,False
2024,1,1,Barkly,02 Assault,023 Common Assault,0,1,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,2,True,False,False,False,False
2024,1,1,Barkly,02 Assault,023 Common Assault,1,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,3,True,False,False,False,False
2024,1,1,Barkly,02 Assault,023 Common Assault,1,1,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,4,True,False,False,False,False
2024,1,1,Barkly,03 Sexual offences,031 Sexual assault of an adult,0,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,3,True,False,False,False,False
2024,1,1,Barkly,04 Harm or endanger persons,"041, 042, 043 Human trafficking, abduction, deprivation of liberty",0,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,1,True,False,False,False,False
2024,1,1,Barkly,04 Harm or endanger persons,"044 Acts that threaten, harass or control",0,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,4,True,False,False,False,False
2024,1,1,Barkly,"05 Robbery, blackmail, and extortion",051 Robbery,0,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,8,True,False,False,False,False
2024,1,1,Barkly,061 Burglary - dwelling,"061 Burglary - dweling (house break-ins), attempted",0,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,2,True,False,False,False,False
2024,1,1,Barkly,061 Burglary - dwelling,"061 Burglary - dwelling (house break-ins), actual",0,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,14,True,False,False,False,False
2024,1,1,Barkly,062 Burglary - non-residential,"062 Burglary - non-residential (commercial break-ins), actual",0,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,11,True,False,False,False,False
2024,1,1,Barkly,07 Theft,07* Other theft,0,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,23,True,False,False,False,False
2024,1,1,Barkly,07 Theft,071 Motor vehicle theft and related offences,0,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,2,True,False,False,False,False
2024,1,1,Barkly,11 Property damage offences,11 Property damage offences,0,0,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,34,True,False,False,False,False
2024,1,1,Big Rivers,01 Homicide,0132 Driving causing death,0,0,22753,13068,9685,11648,11105,1626,1766,1641,2046,2117,2194,1800,1399,1201,1721,1356,1112,963,716,511,313,173,98,63,2027,20,858,7822,3713,9911,6867,288,31569,1,False,True,False,False,False
2024,1,1,Big Rivers,02 Assault,021 Serious Assault,0,0,22753,13068,9685,11648,11105,1626,1766,1641,2046,2117,2194,1800,1399,1201,1721,1356,1112,963,716,511,313,173,98,63,2027,20,858,7822,3713,9911,6867,288,31569,7,False,True,False,False,False
2024,1,1,Big Rivers,02 Assault,021 Serious Assault,0,1,22753,13068,9685,11648,11105,1626,1766,1641,2046,2117,2194,1800,1399,1201,1721,1356,1112,963,716,511,313,173,98,63,2027,20,858,7822,3713,9911,6867,288,31569,29,False,True,False,False,False
2024,1,1,Big Rivers,02 Assault,021 Serious Assault,1,0,22753,13068,9685,11648,11105,1626,1766,1641,2046,2117,2194,1800,1399,1201,1721,1356,1112,963,716,511,313,173,98,63,2027,20,858,7822,3713,9911,6867,288,31569,6,False,True,False,False,False
2024,1,1,Big Rivers,02 Assault,021 Serious Assault,1,1,22753,13068,9685,11648,11105,1626,1766,1641,2046,2117,2194,1800,1399,1201,1721,1356,1112,963,716,511,313,173,98,63,2027,20,858,7822,3713,9911,6867,288,31569,44,False,True,False,False,False
2024,1,1,Big Rivers,02 Assault,022 Assault of a prescribed officer,0,0,22753,13068,9685,11648,11105,1626,1766,1641,2046,2117,2194,1800,1399,1201,1721,1356,1112,963,716,511,313,173,98,63,2027,20,858,7822,3713,9911,6867,288,31569,1,False,True,False,False,False
