,region,Year,Month number,Alcohol involvement,DV involvement,Total_population,Aboriginal,Non-Aboriginal,Male,Female,Pop_age_0,Pop_age_10,Pop_age_15,Pop_age_20,Pop_age_25,Pop_age_30,Pop_age_35,Pop_age_40,Pop_age_45,Pop_age_5,Pop_age_50,Pop_age_55,Pop_age_60,Pop_age_65,Pop_age_70,Pop_age_75,Pop_age_80,Pop_age_85plus,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC,Number of offences,assault_rate,sin_month,cos_month,pct_aboriginal,pct_male,pct_youth,pct_senior,alcohol_per_capita,full-strength_beer_pac_per_capita,mid-strength_beer_pac_per_capita,low-strength_beer_pac_per_capita,cask_wine_pac_per_capita,bottled_wine_pac_per_capita,fortified_wine_pac_per_capita,assault_rate_lag1,assault_rate_lag3
0,Barkly,2024,1,10,9,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,1542,206.39807254718244,0.49999999999999994,0.8660254037844387,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.5961718645428993,0.5388836835764957,0.31414803908445993,0.001204658010975773,0.0995850622406639,0.04470619729621202,0.00040155267032525766,,
1,Barkly,2024,2,11,10,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,1467,196.359255789051,0.8660254037844386,0.5000000000000001,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.5961718645428993,0.5388836835764957,0.31414803908445993,0.001204658010975773,0.0995850622406639,0.04470619729621202,0.00040155267032525766,206.39807254718244,
2,Barkly,2024,3,8,9,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,1445,193.41453620666576,1.0,6.123233995736766e-17,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.5961718645428993,0.5388836835764957,0.31414803908445993,0.001204658010975773,0.0995850622406639,0.04470619729621202,0.00040155267032525766,196.359255789051,
3,Barkly,2024,4,10,9,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,821,414,4,430,3433,1094,3984,2540,3,12725,1270,169.9906304376924,0.8660254037844387,-0.4999999999999998,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.7032525766296347,0.5332619461919422,0.3399812608753848,0.00040155267032525766,0.10989158077901218,0.05541426850488556,0.0005354035604336768,193.41453620666576,206.39807254718244
4,Barkly,2024,5,9,9,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,821,414,4,430,3433,1094,3984,2540,3,12725,1359,181.90335965734172,0.49999999999999994,-0.8660254037844387,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.7032525766296347,0.5332619461919422,0.3399812608753848,0.00040155267032525766,0.10989158077901218,0.05541426850488556,0.0005354035604336768,169.9906304376924,196.359255789051
5,Barkly,2024,6,11,11,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,821,414,4,430,3433,1094,3984,2540,3,12725,1271,170.12448132780082,1.2246467991473532e-16,-1.0,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.7032525766296347,0.5332619461919422,0.3399812608753848,0.00040155267032525766,0.10989158077901218,0.05541426850488556,0.0005354035604336768,181.90335965734172,193.41453620666576
6,Barkly,2024,7,11,10,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,491,3,519,4038,1275,4896,2824,7,14798,1292,172.93535002007764,-0.4999999999999997,-0.8660254037844388,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.9807254718243876,0.6553339579708205,0.3779949136661759,0.0009369562307589345,0.0995850622406639,0.06572078704323384,0.00040155267032525766,170.12448132780082,169.9906304376924
7,Barkly,2024,8,12,11,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,491,3,519,4038,1275,4896,2824,7,14798,1265,169.3213759871503,-0.8660254037844385,-0.5000000000000004,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.9807254718243876,0.6553339579708205,0.3779949136661759,0.0009369562307589345,0.0995850622406639,0.06572078704323384,0.00040155267032525766,172.93535002007764,181.90335965734172
8,Barkly,2024,9,11,10,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,491,3,519,4038,1275,4896,2824,7,14798,1390,186.0527372507027,-1.0,-1.8369701987210297e-16,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.9807254718243876,0.6553339579708205,0.3779949136661759,0.0009369562307589345,0.0995850622406639,0.06572078704323384,0.00040155267032525766,169.3213759871503,170.12448132780082
9,Barkly,2024,10,11,10,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,678,374,4,614,3512,1277,4568,2516,9,13550,1449,193.94993976709947,-0.8660254037844386,0.5000000000000001,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.8136795609690803,0.611430866015259,0.33676883951278275,0.001204658010975773,0.09075090349350823,0.05006023290054879,0.0005354035604336768,186.0527372507027,172.93535002007764
