,region,Year,Month number,Alcohol involvement,DV involvement,Total_population,Aboriginal,Non-Aboriginal,Male,Female,Pop_age_0,Pop_age_10,Pop_age_15,Pop_age_20,Pop_age_25,Pop_age_30,Pop_age_35,Pop_age_40,Pop_age_45,Pop_age_5,Pop_age_50,Pop_age_55,Pop_age_60,Pop_age_65,Pop_age_70,Pop_age_75,Pop_age_80,Pop_age_85plus,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC,Number of offences,assault_rate,sin_month,cos_month,pct_aboriginal,pct_male,pct_youth,pct_senior,alcohol_per_capita,beer_per_capita,wine_per_capita,assault_rate_lag1,assault_rate_lag3
0,Barkly,2024,1,10,9,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,1542,206.39807254718244,0.49999999999999994,0.8660254037844387,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.5961718645428993,0.8542363806719314,0.14469281220720118,,
1,Barkly,2024,2,11,10,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,1467,196.359255789051,0.8660254037844386,0.5000000000000001,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.5961718645428993,0.8542363806719314,0.14469281220720118,206.39807254718244,
2,Barkly,2024,3,8,9,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,334,3,402,3167,892,4026,2347,9,11925,1445,193.41453620666576,1.0,6.123233995736766e-17,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.5961718645428993,0.8542363806719314,0.14469281220720118,196.359255789051,
3,Barkly,2024,4,10,9,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,821,414,4,430,3433,1094,3984,2540,3,12725,1270,169.9906304376924,0.8660254037844387,-0.4999999999999998,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.7032525766296347,0.8736447597376522,0.1658412528443314,193.41453620666576,206.39807254718244
4,Barkly,2024,5,9,9,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,821,414,4,430,3433,1094,3984,2540,3,12725,1359,181.90335965734172,0.49999999999999994,-0.8660254037844387,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.7032525766296347,0.8736447597376522,0.1658412528443314,169.9906304376924,196.359255789051
5,Barkly,2024,6,11,11,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,821,414,4,430,3433,1094,3984,2540,3,12725,1271,170.12448132780082,1.2246467991473532e-16,-1.0,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.7032525766296347,0.8736447597376522,0.1658412528443314,181.90335965734172,193.41453620666576
6,Barkly,2024,7,11,10,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,491,3,519,4038,1275,4896,2824,7,14798,1292,172.93535002007764,-0.4999999999999997,-0.8660254037844388,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.9807254718243876,1.0342658278677552,0.16570740195422298,170.12448132780082,169.9906304376924
7,Barkly,2024,8,12,11,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,491,3,519,4038,1275,4896,2824,7,14798,1265,169.3213759871503,-0.8660254037844385,-0.5000000000000004,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.9807254718243876,1.0342658278677552,0.16570740195422298,172.93535002007764,181.90335965734172
8,Barkly,2024,9,11,10,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,744,491,3,519,4038,1275,4896,2824,7,14798,1390,186.0527372507027,-1.0,-1.8369701987210297e-16,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.9807254718243876,1.0342658278677552,0.16570740195422298,169.3213759871503,170.12448132780082
9,Barkly,2024,10,11,10,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,678,374,4,614,3512,1277,4568,2516,9,13550,1449,193.94993976709947,-0.8660254037844386,0.5000000000000001,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.8136795609690803,0.9494043635390176,0.1413465399544907,186.0527372507027,172.93535002007764
10,Barkly,2024,11,11,9,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,678,374,4,614,3512,1277,4568,2516,9,13550,1412,188.99745683308794,-0.5000000000000004,0.8660254037844384,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.8136795609690803,0.9494043635390176,0.1413465399544907,193.94993976709947,169.3213759871503
11,Barkly,2024,12,9,8,7471,5344,2127,3779,3692,628,541,568,587,731,691,562,431,404,627,425,384,353,259,131,91,45,13,678,374,4,614,3512,1277,4568,2516,9,13550,1460,195.42229955829208,-2.4492935982947064e-16,1.0,0.7152991567393924,0.5058225137197162,0.1545977780752242,0.07214562976843795,1.8136795609690803,0.9494043635390176,0.1413465399544907,188.99745683308794,186.0527372507027
12,Barkly,2025,1,9,10,7552,5402,2150,3836,3716,630,551,582,586,731,693,580,444,412,623,417,393,355,262,133,99,47,14,520,264,0,402,2697,755,3415,1879,7,9939,1430,189.35381355932205,0.49999999999999994,0.8660254037844387,0.7153072033898306,0.5079449152542372,0.15466101694915255,0.07349046610169492,1.3160752118644068,0.7019332627118644,0.1038135593220339,195.42229955829208,193.94993976709947
